Eesnimi;Perenimi;Sugu;Sünniaeg;Isikukood;Maakond;Tänav;Asula;Asulatüüp;Mobiiltelefon;Telefon;Surmaaeg;Vanus
Vera;Sulg;N;18.08.1990;49008184373;Põlvamaa;Helme;Koigera;küla;55360395;7994954;;
Elizaveta;Rüütel;N;18.08.1979;47908181549;Saaremaa;Viimsi tee;Peederga;küla;53149552;4561235;19.03.2018;38
Maksim;Salu;M;17.10.1922;32210172288;Lääne-Virumaa;Kasvu;Rakke;alevik;;3291173;18.08.1949;26
Gerli;Raag;N;18.08.1988;48808184560;Võrumaa;Vaari;Tiirhanna;küla;53013341;7893586;01.04.2018;29
Evely;Kaur;N;18.08.1987;48708189253;Pärnumaa;Kotzebue;Arase;küla;54670002;4490195;;
Jan-Erik;Tuulik;M;18.08.1992;39208184617;Valgamaa;Juhkentali;Taheva;küla;52543554;7662598;;
Aksel;Õispuu;M;18.08.2015;51508182641;Ida-Virumaa;Süsiauguja;Hiiemetsa;küla;51920909;3386429;;
Liana;Melnik;N;18.08.1917;41708187310;Võrumaa;Tiimani;Viliksaarõ;küla;50970242;7893490;;
Elmar;Saks;M;18.08.1975;37508189150;Võrumaa;Palderjani tee;Masluva;küla;53380735;7802367;;
Mairo;Muru;M;18.08.1936;33608180051;Valgamaa;Roheline;Vaalu;küla;54318342;7659269;;
Amanda;Abderhalden;N;18.08.2018;61808180449;Põlvamaa;Sambla;Süvahavva;küla;50313472;7943573;;
Tauri;Koit;M;18.08.2000;50008186298;Läänemaa;Lepa;Kuluse;küla;57022853;4789118;;
Rainar;Roos;M;18.08.1980;38008183206;Põlvamaa;Mustamäe tee;Orajõe;küla;51839010;7967388;;
Arabella;Jaakson;N;18.08.1906;40608181335;Võrumaa;Kosemetsa;Piipsemäe;küla;59006522;7872944;;
Ivo;Kurm;M;18.08.1940;34008188119;Tartumaa;Suur-Patarei;Tõravere;alevik;;7605263;02.05.1983;42
Erki;Männik;M;11.08.2014;51408116858;Saaremaa;Rähkloo;Kübassaare;küla;58114033;4593669;18.08.2019;5
Klim;Tiik;M;18.08.1978;37808184619;Tartumaa;Vaikne;Ulila;alevik;59610922;7239247;;
Viktorija;Davõdov;N;18.08.2006;60608180856;Võrumaa;Rohula;Lüütsepa;küla;51679139;7893197;;
Ene;Liivak;N;18.08.1975;47508188679;Pärnumaa;Pilliroo;Leetva;küla;55582197;4472243;;
Virko;Lääts;M;25.12.1936;33612254132;Hiiumaa;Luige;Värssu;küla;;4698170;18.08.1952;15
Amina;Kadak;N;18.08.2018;61808180569;Jõgevamaa;Keava;Süvalepa;küla;52969146;7733014;;
Emily;Vill;N;18.08.1924;42408187764;Lääne-Virumaa;Kõue;Pajuveski;küla;59742968;3207677;;
Juri;Danilov;M;18.08.1951;35108180045;Raplamaa;Vete;Vahakõnnu;küla;57060819;4820645;;
Egle;Vaher;N;18.08.2019;61908186803;Harjumaa;Hospidali;Rummu;alevik;53497530;6379003;;
Eve;Kuznetsov;N;18.08.1998;49808187164;Võrumaa;Kauri;Heedu;küla;58931311;7868735;;
Margarita;Smirnov;N;23.09.1971;47109231328;Viljandimaa;Raekoja;Ainja;küla;;4362727;18.08.1988;16
Lii;Nurm;N;18.08.1907;40708188140;Viljandimaa;Otsatalu;Päidre;küla;51614103;4300827;;
Marlon;Jürgenson;M;18.08.1910;31008187213;Põlvamaa;Kubu;Viluste;küla;52512366;7929131;;
Karel;Ilves;M;18.08.2010;51008180467;Pärnumaa;Nõmme tee;Urumarja;küla;57725414;4407627;;
Tobias;Põld;M;18.08.1932;33208185947;Läänemaa;Kiltri;Kalju;küla;57802183;4755585;;
Astrid;Filippov;N;18.08.1949;44908187925;Jõgevamaa;Sarapiku tee;Painküla;küla;51632997;7778842;;
Mikael;Soon;M;18.08.1976;37608187464;Põlvamaa;Ranniku tee;Igrise;küla;54232773;7979435;24.04.2008;31
Marita;Romanov;N;18.08.2016;61608182393;Läänemaa;Ringtee;Ullaste;küla;50743665;4731083;;
Lilian;Aru;N;18.08.2010;61008188732;Jõgevamaa;Põldma;Kõnnujõe;küla;58572389;7775785;;
Jaanika;Kruus;N;18.08.1968;46808183768;Võrumaa;Rünga;Raotu;küla;50528036;7844796;;
Martha;Vasiliev;N;03.06.1932;43206033508;Pärnumaa;1. Jõe;Pihke;küla;;4427429;18.08.1974;42
Kerttu;Paap;N;14.08.1925;42508144319;Viljandimaa;Rändrahnu tee;Hõbemäe;küla;;4375281;18.08.1986;61
Marilyn;Varik;N;18.08.1910;41008184966;Järvamaa;Tuule tee;Kalitsa;küla;50789602;3850298;;
Jevgenija;Sander;N;18.08.1928;42808184780;Järvamaa;2. Jõe;Õle;küla;58051752;3825683;;
Lada;Kirs;N;18.08.1914;41408186823;Harjumaa;Kuljuse;Püha;küla;56725582;6315173;;
Natalia;Konstantinov;N;18.08.1907;40708185965;Raplamaa;Pärlimõisa tee;Purga;küla;53862185;4813742;;
Kertu;Kolk;N;18.08.1981;48108181832;Võrumaa;Kärestiku;Talka;küla;54821381;7836589;27.08.1994;13
Samanta;Sirel;N;18.08.1926;42608187417;Saaremaa;Karmiini;Kaisvere;küla;57629095;4506827;;
Ivo;Raudsepp;M;18.08.1989;38908188821;Järvamaa;Idakaare;Kurla;küla;55231586;3879237;;
Daaniel;Tammet;M;18.08.1941;34108189460;Saaremaa;Puju;Tiitsuotsa;küla;59916562;4572427;;
Ketly;Jõesaar;N;18.08.1973;47308180294;Läänemaa;Väike-Tähe;Jõesse;küla;;4711638;30.05.1974;0
Vassili;Nõmmik;M;18.08.2006;50608180336;Harjumaa;Lembitu;Tuulevälja;küla;51387924;6922067;23.07.2015;8
Ronaldo;Kirsipuu;M;18.08.1965;36508181437;Harjumaa;Ülase;Kurna;küla;58421682;6564099;;
Hanno;Sillaste;M;18.08.1921;32108184073;Jõgevamaa;Rataskaevu;Reinu;küla;58908480;7747273;;
Egle;Liivak;N;18.08.1943;44308181424;Hiiumaa;Salutähe;Hüti;küla;54879279;4677988;;
Doris;Powell;N;18.08.1906;40608183858;Lääne-Virumaa;Pilviku;Kärmu;küla;;3243186;19.07.1926;19
Kairit;Sillaots;N;18.08.1902;40208182696;Läänemaa;Tulbi;Suur-Nõmmküla;küla;58574386;4706472;;
Karel;Kohv;M;18.08.1909;30908184799;Saaremaa;Mõisajärve tänav;Koovi;küla;51237676;4534654;;
Ines;Grigorieva;N;16.03.1920;42003160288;Harjumaa;Unna;Härma;küla;53216938;6322534;18.08.2014;94
Carmen;Jalakas;N;18.08.1969;46908188651;Hiiumaa;Võsa tee;Viilupi;küla;51862552;4622778;07.10.2015;46
Sirje;Mürk;N;18.08.1927;42708182875;Võrumaa;Uku  pôik;Merekülä;küla;58615895;7826729;;
Lisete;Kuzmin;N;18.08.2012;61208183875;Võrumaa;Lambi;Kiviora;küla;50287503;7827737;;
Danila;Ruus;M;18.08.1911;31108185320;Raplamaa;Männimetsa põik;Pühatu;küla;55268138;4833275;;
Kaileen;Ojaste;N;18.08.2003;60308184905;Ida-Virumaa;Tuki;Kõrve;küla;57551160;3359271;;
Karl-Eerik;Golubev;M;18.08.1990;39008188299;Ida-Virumaa;Aianduse tee;Varinurme;küla;57345276;3387476;25.02.2013;22
Merily;Luht;N;18.08.1957;45708186817;Tartumaa;Nurmiku põik;Haaslava;küla;50602780;7797866;;
Mike;Mölder;M;18.08.1923;32308187902;Harjumaa;Juurdeveo;Kiisa;alevik;51521176;6181155;;
Matis;Sibul;M;18.08.1920;32008188538;Viljandimaa;Vana-Rannamõisa tee;Arussaare;küla;59892331;4307466;;
Arti;Liblik;M;06.11.1982;38211063891;Harjumaa;Urva;Ülejõe;küla;53940783;6338022;18.08.2001;18
Jaanika;Kiik;N;23.03.2013;61303238587;Pärnumaa;Eevardi;Helenurme;küla;56286371;4452375;18.08.2016;3
Kristlin;Kapp;N;18.08.1940;44008182618;Saaremaa;Põhja puiestee;Pädaste;küla;58851216;4564986;;
Kalle;Kirillov;M;18.08.1935;33508181703;Võrumaa;Paekivi;Serga;küla;55571667;7801628;;
Tõnis;Mark;M;18.08.1922;32208186005;Läänemaa;Sügislase;Haapsalu;linn;58412784;4753012;;
Grigori;Kasak;M;16.02.1977;37702161070;Ida-Virumaa;Nahavabriku;Erra;alevik;;3394806;18.08.1983;6
Carina;Raja;N;09.04.1900;40004094318;Võrumaa;Tursa;Hansi;küla;;7873890;18.08.1917;17
Rodion;Rebane;M;18.08.1929;32908181298;Harjumaa;Adra;Kullamäe;küla;57098695;6139304;;
Iiris;Puusepp;N;18.08.1920;42008187382;Võrumaa;Vimma;Kiksova;küla;51624787;7855012;24.02.2005;84
Annabell;Soosalu;N;18.08.1963;46308189779;Ida-Virumaa;Küüvitsa tee;Vaivina;küla;51001685;3372432;;
Dario;Lauri;M;21.12.1940;34012215278;Pärnumaa;Karukella tee;Rabavere;küla;55216207;4440556;18.08.2000;59
Marin;Juhkam;N;18.08.2008;60808185794;Harjumaa;Jääraku põik;Madila;küla;51909688;6419421;;
Gunnar;Täht;M;18.08.1951;35108184707;Viljandimaa;Käokannu tee;Mähma;küla;54050976;4325749;;
Thomas;Villemson;M;18.08.1977;37708185175;Läänemaa;Müürivahe;Rohense;küla;59206822;4726387;;
Ken-Martin;Järvesaar;M;18.08.2011;51108187911;Tartumaa;Valli;Keeri;küla;55501620;7426051;;
Marin;Mägi;N;18.08.1907;40708189927;Võrumaa;Reseeda;Pausakunnu;küla;55423680;7876486;;
Reet;Krõlov;N;18.08.1921;42108181072;Järvamaa;Pidu;Oeti;küla;;3886276;06.03.1967;45
Gervin;Kool;M;18.08.1985;38508186208;Võrumaa;Mere  puiestee;Mallika;küla;52862134;7878730;;
Kairo;Kink;M;18.08.1963;36308181213;Harjumaa;Lai tänav;Kohatu;küla;59035568;6395061;;
Sirly;Kozlov;N;18.08.1933;43308188815;Jõgevamaa;Haigru;Palupere;küla;59662694;7705352;;
Olari;Põder;M;18.08.2011;51108180610;Pärnumaa;Kari;Piisu;küla;53771151;4440797;;
Melany;Novikov;N;18.08.1984;48408181821;Viljandimaa;J. Hurda;Sinialliku;küla;51851678;4350940;;
Arti;Treial;M;18.08.2017;51708184944;Lääne-Virumaa;Nikolai;Moe;küla;51092442;3246044;;
Ivan;Olesk;M;18.08.2015;51508185907;Saaremaa;Pärnamäe tee;Koki;küla;53796620;4509883;;
Maarjo;Allik;M;18.08.1924;32408182583;Saaremaa;Nugise;Ilpla;küla;58846917;4590939;;
Luisa;Veski;N;18.08.1903;40308180254;Põlvamaa;Tolmuka tee;Rebaste;küla;;7998939;09.04.1974;70
Gunnar;Lass;M;18.08.1943;34308182210;Läänemaa;Viimsi tee;Üdruma;küla;52984222;4763204;;
Jarmo;Trei;M;18.08.1925;32508184899;Võrumaa;Tammeõie;Mauri;küla;59193687;7888570;;
Kärolin;Salumets;N;22.01.1966;46601226656;Lääne-Virumaa;Latika;Mädapea;küla;;3210158;18.08.1984;18
Kelvin;Maack;M;18.08.2003;50308189745;Pärnumaa;Kalevipoja põik;Naissoo;küla;52676373;4462372;;
Keit;Lääts;M;18.08.2004;50408181291;Viljandimaa;Karsti;Pikru;küla;55634397;4362306;;
Hanna;Lätt;N;18.08.1944;44408187906;Viljandimaa;Tiiru;Maru;küla;51298269;4383447;;
Alan;Mercklin;M;18.08.1907;30708185466;Võrumaa;Põhjakaare;Uue-Saaluse;küla;55660290;7817846;;
Mai-Liis;Baskin;N;18.08.1920;42008180383;Pärnumaa;E. Wiiralti tänav;Lavassaare;alev;57594141;4445022;;
Karl Robert;Karpova;M;18.08.1964;36408187373;Jõgevamaa;Ööbiku tänav;Vaimastvere;küla;57864643;7772851;;
Oliver;Ilves;M;04.03.1936;33603042815;Harjumaa;Puhkekodu;Kütke;küla;52875150;6231104;18.08.2018;82
Evita;Suits;N;18.08.2002;60208183829;Raplamaa;Kaunase puiestee;Lellapere;küla;53717379;4862863;;
Maido;Aus;M;18.08.1910;31008184302;Võrumaa;Metsavahi põik;Võmmorski;küla;55150558;7823124;;
Inger;Õunapuu;N;18.08.1996;49608184047;Lääne-Virumaa;Ankru;Mõndavere;küla;56833502;3297405;07.02.2002;5
Laura-Liisa;Kõiv;N;18.08.2001;60108186987;Pärnumaa;Ernst Särgava allee;Pereküla;küla;56052304;4485819;;
Marielle;Palm;N;18.08.1917;41708188877;Hiiumaa;Lõuna;Haldi;küla;52835829;4613063;05.05.2016;98
Indrek;Kikkas;M;18.08.1932;33208181786;Harjumaa;Laeva;Kose-Uuemõisa;alevik;58219076;6524798;;
Maribel;Gromov;N;18.08.1981;48108182204;Jõgevamaa;Marja;Laasme;küla;51265164;7704463;;
Kristjan;Raud;M;18.08.1911;31108185009;Lääne-Virumaa;Topi;Pikaristi;küla;50545797;3273615;;
Annette;Müürsepp;N;18.08.1979;47908182850;Võrumaa;Parda;Tiirhanna;küla;53583450;7821219;;
Eliisabeth;Kase;N;18.08.1919;41908187602;Lääne-Virumaa;Külmallika põik;Katku;küla;56394714;3284349;;
Kaimo;Kruus;M;18.08.1907;30708187826;Tartumaa;Männi;Ketneri;küla;54932099;7772445;;
Eneli;Kuzmin;N;25.07.1998;49807256571;Lääne-Virumaa;Terase;Auküla;küla;59354690;3222987;18.08.2003;5
Alex;Kärner;M;18.08.1968;36808186234;Jõgevamaa;Metsavahi põik;Jüriküla;küla;50028058;7751885;;
Marija;Hansen;N;18.08.2007;60708182454;Võrumaa;Maleva põik;Uue-Antsla;küla;59082793;7818714;;
Anne-Mai;Adamson;N;18.08.1910;41008182998;Tartumaa;Rõõmu;Kandiküla;küla;58325203;7272053;;
Karl Marten;Beljajev;M;18.08.1989;38908181009;Jõgevamaa;Varju tänav;Sadala;alevik;56439710;7752877;;
Aleksei;Hunt;M;18.08.1937;33708185854;Harjumaa;Rannakajaka;Voose;küla;57998284;6232986;;
Artjom;Remmel;M;18.08.2001;50108183631;Läänemaa;Mihhail Maslovi tänav;Laheva;küla;51221291;4705214;;
Enriko;Prikk;M;18.08.1900;30008182693;Pärnumaa;Vasara põik;Laiksaare;küla;;4470374;26.03.1977;76
Taavet;Oras;M;18.08.1970;37008182861;Valgamaa;Võra tee;Kääriku;küla;56530315;7634467;;
Sergei;Nikolaev;M;18.08.1946;34608184760;Saaremaa;Silde;Lõetsa;küla;51249989;4553018;;
Ele;Ernits;N;30.06.1915;41506300257;Harjumaa;Räni;Saula;küla;;6643912;18.08.1953;38
Eliisabeth;Kroon;N;18.08.1908;40808184519;Lääne-Virumaa;Tammepärja;Kosta;küla;;3299100;26.08.1950;42
Sanna;Simm;N;18.08.1907;40708187589;Lääne-Virumaa;Hagudi;Orutaguse;küla;50495769;3206465;;
Stefani;Naumov;N;18.08.1984;48408182963;Jõgevamaa;Sauga-Jôekalda;Kaliküla;küla;56079868;7737800;;
Eve;Pulk;N;18.08.1936;43608186102;Valgamaa;Kurmu;Helme;alevik;59786366;7631420;;
Triinu-Liis;Rosenberg;N;18.08.1979;47908187644;Tartumaa;Marta;Välgi;küla;55405903;7886538;;
Günther;Kaljula;M;18.08.1992;39208182811;Põlvamaa;Lehe;Rosma;küla;57510797;7991889;;
Eva-Maria;Kiik;N;18.08.1941;44108182294;Valgamaa;Neiuvaiba tee;Kolli;küla;55311926;7621648;;
Anžela;Ossipov;N;18.08.1936;43608185849;Ida-Virumaa;Hao;Salaküla;küla;52766583;3333434;;
Marleen;Liblik;N;18.08.1929;42908188396;Põlvamaa;Energia;Karisilla;küla;59557982;7906364;;
Trinity;Vasiliev;N;18.08.1926;42608189918;Lääne-Virumaa;A. Vabbe;Raigu;küla;50230209;3288062;;
Heigo;Pikk;M;18.08.1979;37908187690;Harjumaa;Armatuuri;Niitvälja;küla;54114666;6126831;02.07.1997;17
Frank;Säde;M;18.08.2008;50808186432;Võrumaa;Daumani;Pelsi;küla;57101928;7899465;;
Ethel;Org;N;18.08.2004;60408181429;Tartumaa;Võidu park;Imste;küla;54724397;7176045;;
Richard;Semenov;M;18.08.1950;35008185857;Valgamaa;Sanatooriumi;Tagula;küla;56523579;7688872;;
Annett;Kiis;N;18.08.1922;42208184569;Ida-Virumaa;Paplite puiestee;Vaikla;küla;53102346;3361039;;
Anti;Pärna;M;18.08.1912;31208182528;Põlvamaa;Tallinna;Jaanikeste;küla;59996863;7913812;;
Marily;Härm;N;18.08.1965;46508186647;Põlvamaa;Vesse;Tilsi;küla;53869223;7943427;22.10.2012;47
Adeele;Jürgens;N;18.08.1979;47908180490;Järvamaa;Kalevipoja;Prandi;küla;50463431;3882037;;
Kaisa;Ojaste;N;18.08.2009;60908184201;Saaremaa;A. Kongo;Viltina;küla;54200606;4506503;20.12.2017;8
Randel;Annus;M;18.08.1995;39508185521;Võrumaa;Kesa;Väiko-Härmä;küla;56681678;7810863;;
Vladislava;Ploom;N;18.08.1903;40308184728;Saaremaa;Niidumõisa;Paevere;küla;55921240;4555572;;
Helis;Veski;N;18.08.1954;45408185928;Lääne-Virumaa;Nikli;Näo;küla;54016048;3241082;;
Silver;Tomson;M;18.08.2010;51008184444;Hiiumaa;Vambola;Mäeltse;küla;56398364;4651321;;
Tiiu;Kozlov;N;18.08.1922;42208185890;Läänemaa;Veskiposti;Auaste;küla;53023091;4707918;;
Anette;Kolberg;N;18.08.1917;41708182732;Ida-Virumaa;Manufaktuuri;Sonda;alevik;53084890;3306126;;
Heigo;Lunin;M;18.08.2007;50708184871;Lääne-Virumaa;Käbi;Saara;küla;56825159;3290643;;
Ronald;Valge;M;18.08.1997;39708189615;Raplamaa;Vilja;Sikeldi;küla;56098711;4823089;;
Lukas;Lehtmets;M;18.08.1991;39108181131;Valgamaa;Ehitajate tee;Alamõisa;küla;59881716;7630497;04.02.2010;18
Taavet;Trei;M;18.08.1971;37108181437;Järvamaa;Hälli;Ämbra;küla;57324435;3866213;;
Kristopher;Vaher;M;18.08.1976;37608189579;Raplamaa;Keldrimäe;Luiste;küla;56758745;4806797;;
Marta;Salumets;N;18.08.1902;40208180392;Lääne-Virumaa;Lõhmuse tee;Kellamäe;küla;55997617;3293194;;
Adelina;Naumov;N;18.08.1935;43508184084;Põlvamaa;Liivakuru;Krootuse;küla;53651600;7912809;;
Enely;Pärnpuu;N;18.08.1992;49208189487;Võrumaa;Paide  maantee;Kriguli;küla;57318003;7807255;;
Maia;Erik;N;18.08.1974;47408187123;Saaremaa;Haabersti;Kehila;küla;57664883;4523125;;
Aare;Vain;M;18.08.1963;36308184742;Raplamaa;Herilase;Kohtru;küla;57174052;4803958;;
Melissa;Roots;N;25.03.1919;41903253628;Läänemaa;Tamme;Lannuste;küla;;4740425;18.08.1967;48
Arabella;Sirel;N;18.08.1948;44808189361;Jõgevamaa;Selleri tänav;Praaklima;küla;58842804;7796220;;
Roger;Kurm;M;18.08.1927;32708180723;Lääne-Virumaa;Arhitekti;Kannastiku;küla;57248913;3233714;;
Ronja;Sikorski;N;18.08.1989;48908189278;Saaremaa;Vaarika;Välta;küla;51147711;4505919;;
Brigitta;Bõstrov;N;20.03.2010;61003208620;Ida-Virumaa;Neeme;Sõrumäe;küla;59398553;3394529;18.08.2019;9
Veronika;Martinson;N;18.08.1934;43408181241;Harjumaa;Oja;Manniva;küla;57474469;6407720;;
Arvi;Gusev;M;18.08.1950;35008183437;Pärnumaa;Jüri;Rukkiküla;küla;58391255;4462528;;
Viktoria;Taal;N;31.08.1961;46108316735;Jõgevamaa;Ida tee;Visusti;küla;;7785299;18.08.1965;3
Aaron;Kuusik;M;18.08.1900;30008183026;Läänemaa;Metshaldja tänav;Auaste;küla;58450054;4782253;;
Ailen;Randmaa;N;18.08.2001;60108187497;Raplamaa;Põlde;Pirgu;küla;51771562;4808160;;
Leonard;Sokk;M;18.08.1942;34208183212;Saaremaa;Väike-Sepa;Vilsandi;küla;50403508;4588508;;
Imre;Tõnisson;M;07.02.1948;34802074948;Läänemaa;Täpiku;Ohtla;küla;;4701532;18.08.1958;10
Renet;Juhanson;M;18.08.1983;38308182182;Saaremaa;Vainutalu;Poka;küla;56358857;4506307;;
Klaarika;Nikiforov;N;18.08.1998;49808181928;Valgamaa;Pikksilma;Kääriku;küla;57223679;7672319;;
Dmitry;Voronin;M;18.08.1926;32608188423;Saaremaa;Gaasi;Vantri;küla;55261426;4518058;;
Kristina;Tomingas;N;18.08.1918;41808185038;Saaremaa;Kuuse;Vanakubja;küla;53357234;4531593;;
Izabella;Luik;N;18.08.1978;47808183967;Viljandimaa;Tammekuru põik;Rihkama;küla;50723283;4321900;;
Milena;Lehtmets;N;18.08.1932;43208181456;Harjumaa;Luisu;Järveküla;küla;;6737360;18.10.1942;10
Marge;Raid;N;18.08.1904;40408184725;Jõgevamaa;Õuna;Kõrenduse;küla;54854887;7773781;;
Emilia;Urb;N;18.08.1943;44308188088;Põlvamaa;Suvila;Soodoma;küla;51541086;7986858;;
Anatoli;Schmidt;M;18.08.1943;34308184246;Jõgevamaa;Ilmatari;Vitsjärve;küla;50490764;7759812;;
Avely;Hein;N;18.08.1935;43508183557;Harjumaa;Laine;Tallinn;linn;53106240;6877093;;
Miia;Kuznetsov;N;18.08.1916;41608183526;Järvamaa;Lagedi tee;Väike-Kareda;küla;52012576;3898118;;
Annemari;Alas;N;28.01.1900;40001281277;Lääne-Virumaa;Tõru;Vetiku;küla;;3265301;18.08.1929;29
Samuel;Komarov;M;18.08.1995;39508181517;Pärnumaa;Kaljase;Oara;küla;54031342;4433081;;
Jennifer;Treial;N;18.08.1935;43508180008;Harjumaa;Anne;Vandjala;küla;50621551;6447639;;
Jevgenija;Uus;N;18.08.1956;45608180657;Võrumaa;Varese;Resto;küla;55298887;7876274;;
Ramon;Tiik;M;18.08.1997;39708189096;Võrumaa;Esplanaadi;Mutemetsa;küla;53098907;7889456;;
Kaie;Sisask;N;18.08.1974;47408183241;Ida-Virumaa;Loomuse;Kestla;küla;59277963;3389275;;
Liis;Mölder;N;18.08.1966;46608182235;Hiiumaa;Kauge;Undama;küla;50975133;4606654;;
Anne-Mari;Kasemaa;N;25.11.1942;44211251620;Lääne-Virumaa;Seebi;Rakvere;linn;55752187;3265550;18.08.2001;58
Lidia;Must;N;18.08.1904;40408188625;Hiiumaa;Veskiposti;Paluküla;küla;55226410;4676683;;
Killu;Lätt;N;18.08.1909;40908188314;Tartumaa;Alajaama;Tooni;küla;58710261;7843253;;
Annely;Popov;N;18.08.1938;43808186215;Hiiumaa;Rukkilille tee;Mäeküla;küla;57904929;4688749;;
Kirsti;Ott;N;18.08.1965;46508181271;Valgamaa;Suur-Karja;Sihva;küla;57240824;7647309;;
Kirke;Lillemets;N;18.08.1916;41608180537;Saaremaa;Kruusamäe;Kuressaare;linn;57772936;4538131;;
Imre;Luiga;M;18.08.1905;30508186758;Läänemaa;Eerikneeme tee;Karuse;küla;57959850;4731522;;
Tiiu;Eller;N;18.08.2016;61608184931;Harjumaa;Talutare;Kohatu;küla;54539298;6410900;;
Lisandra;Ivanov;N;09.02.1937;43702098931;Tartumaa;Lehtmäe;Liispõllu;küla;;7330894;18.08.1981;44
Gennadi;Toots;M;18.08.1908;30808183996;Pärnumaa;Müürivahe;Samliku;küla;53930768;4421204;;
Valentina;Kask;N;18.08.2017;61708182014;Harjumaa;Pikse;Rammu;küla;53968550;6113981;;
Marius;Soots;M;18.08.1915;31508182615;Tartumaa;Viljandi maantee;Vellavere;küla;55312354;7412234;;
Killu;Tuul;N;18.08.1940;44008182365;Jõgevamaa;Forelli;Pauastvere;küla;51931874;7704411;;
Kristiina;Kattai;N;18.08.1926;42608182328;Võrumaa;Ränikivi;Tiklasõ;küla;50103518;7899505;;
Elmar;Tomson;M;19.09.1933;33309193122;Võrumaa;Kalmistu tee;Ahitsa;küla;;7879183;18.08.1953;19
Emma;Filatov;N;18.08.1991;49108180987;Võrumaa;Laboratooriumi;Lillimõisa;küla;57544793;7838455;;
Tim;Moroz;M;18.08.1904;30408181409;Võrumaa;Artur Kapi;Metstaga;küla;51583458;7823239;;
Karl Johan;Põld;M;18.08.1923;32308184381;Läänemaa;Toome põik;Kiviküla;küla;50040341;4799698;;
Antti;Uustalu;M;18.08.1983;38308185889;Pärnumaa;Naadi tee;Rõusa;küla;57043551;4441510;;
Reigo;Ivanov;M;18.08.1916;31608180675;Võrumaa;Rebasesaba tee;Kaagu;küla;57012259;7877173;;
Reio;じず;M;18.08.1911;31108188531;Jõgevamaa;Manufaktuuri;Rahivere;küla;53644717;7769199;;
Anneliis;Liblik;N;18.08.1954;45408188300;Läänemaa;Nõmme tee;Kiltsi;küla;53663793;4734617;;
Maribel;Lehtmets;N;18.08.1928;42808184351;Jõgevamaa;Risti;Tõrve;küla;51101778;7736756;;
Gregor;Arula;M;18.08.1953;35308188375;Lääne-Virumaa;Laki;Kaarli;küla;50359789;3292254;;
Ahti;Sokk;M;18.08.2001;50108187514;Harjumaa;Räni põik;Neeme;küla;59717483;6138017;;
Hannela;Vain;N;18.08.2017;61708187116;Harjumaa;Västriku;Kolu;küla;55896592;6753775;;
Maido;Laas;M;18.08.1924;32408180194;Saaremaa;Vikerkaare;Vahva;küla;52319599;4509218;;
Silver;Väli;M;18.08.1981;38108180944;Võrumaa;Paneeli;Augli;küla;53480803;7836348;;
Simo;Põllu;M;18.08.1929;32908181944;Harjumaa;Sirbi kaar;Tiskre;küla;55727649;6226198;;
Kevin;Kolberg;M;18.08.1973;37308180483;Valgamaa;Postitalu;Räbi;küla;59698939;7628920;;
Merili;Kotkas;N;18.08.1964;46408189860;Harjumaa;Naistepuna tee;Veskiküla;küla;51769689;6941300;;
Anna-Maria;Baskin;N;18.08.1963;46308189371;Harjumaa;Laboratooriumi;Ülgase;küla;58333110;6321494;;
Angeelika;Kivi;N;18.08.1971;47108180133;Lääne-Virumaa;Paasiku;Inju;küla;56188674;3262303;;
Heli;Tamberg;N;18.08.1903;40308186974;Saaremaa;Heinamaa;Eiste;küla;54185410;4546282;;
Triinu-Liis;Koitla;N;18.08.1993;49308186605;Läänemaa;Viru;Vidruka;küla;55514159;4766723;26.08.2004;11
Melany;Talts;N;18.08.2019;61908188045;Tartumaa;Kura;Keressaare;küla;56795107;7401341;02.10.2019;0
Karl Marten;Suvorov;M;18.08.2018;51808185158;Võrumaa;Suur-Karja;Saarlasõ;küla;58862594;7846750;;
Konstantin;Kaljurand;M;18.08.1995;39508187580;Saaremaa;Kesk;Mätja;küla;53042940;4573704;;
Egert;Rand;M;18.08.1944;34408186978;Põlvamaa;Pärnu maantee;Eoste;küla;51480825;7970550;;
Reino;Sander;M;18.08.1925;32508186146;Harjumaa;Ääre;Anija;küla;56829113;6850713;;
Marti;Baskin;M;18.08.1930;33008189872;Ida-Virumaa;Maagi ;Ongassaare;küla;51128477;3399817;;
Aigar;Lehiste;M;18.08.1986;38608185481;Järvamaa;Paplite puiestee;Imavere;küla;50837238;3899885;;
Siim;Olesk;M;18.08.1990;39008180231;Tartumaa;Nõmmeliiva;Vahessaare;küla;56897767;7154146;;
Tim;Kohv;M;18.08.1904;30408189510;Viljandimaa;Haigru;Tobraselja;küla;55194050;4398901;;
Deivid;Kaasik;M;18.08.1957;35708184734;Hiiumaa;Niidi;Sigala;küla;57408255;4612644;;
Artur;Leht;M;18.08.1940;34008182583;Jõgevamaa;Varsa tänav;Ehavere;küla;55645041;7755151;;
Cathy;Kikkas;N;18.08.1905;40508180489;Ida-Virumaa;Mahtra;Vitsiku;küla;56535789;3351102;;
Kelvin;Lind;M;18.08.1986;38608183891;Ida-Virumaa;Lumimarja;Puhkova;küla;50632362;3331371;;
Ivika;Kuusk;N;18.08.1920;42008180219;Võrumaa;Puu;Tuuka;küla;59209965;7821258;;
Keiu;Juhkam;N;18.08.1952;45208186140;Ida-Virumaa;Lasnamäe;Liivakünka;küla;59379542;3368250;;
